Wenner_1
5
11
1
Type of measurement (0=app.resistivity,1=resistance)
1
345
2
0
4	245	0	260	0	250	0	255	0	2.14936383485329
4	185	0	200	0	190	0	195	0	4.10938203678963
4	110	0	125	0	115	0	120	0	5.99801236740554
4	230	0	245	0	235	0	240	0	2.52790906220218
4	255	0	270	0	260	0	265	0	1.47600217835608
4	195	0	210	0	200	0	205	0	3.08286856800482
4	165	0	180	0	170	0	175	0	6.29569929984119
4	125	0	140	0	130	0	135	0	5.6371004511141
4	150	0	165	0	155	0	160	0	8.78948821136996
4	105	0	120	0	110	0	115	0	5.33621775307672
4	280	0	295	0	285	0	290	0	0.847789649657245
4	265	0	280	0	270	0	275	0	0.66456409563557
4	180	0	195	0	185	0	190	0	5.9880906016684
4	205	0	220	0	210	0	215	0	2.8747968147258
4	200	0	215	0	205	0	210	0	2.52183058560782
4	175	0	190	0	180	0	185	0	3.81733047828089
4	155	0	170	0	160	0	165	0	6.4588900789529
4	130	0	145	0	135	0	140	0	6.80342774072352
4	115	0	130	0	120	0	125	0	6.07296265945097
4	100	0	115	0	105	0	110	0	5.6240755613965
4	155	0	185	0	165	0	175	0	1.90911086463363
4	235	0	250	0	240	0	245	0	2.29256673961122
4	125	0	155	0	135	0	145	0	1.41222236570864
4	205	0	235	0	215	0	225	0	0.77829999793331
4	285	0	300	0	290	0	295	0	1.25748515497333
4	175	0	205	0	185	0	195	0	1.41880575533796
4	145	0	175	0	155	0	165	0	2.25572938897529
4	225	0	240	0	230	0	235	0	2.82163325635917
4	250	0	265	0	255	0	260	0	1.22840453794975
4	115	0	145	0	125	0	135	0	0.806709712912378
4	255	0	285	0	265	0	275	0	0.189746984039208
4	275	0	290	0	280	0	285	0	0.577648100650083
4	165	0	195	0	175	0	185	0	1.74688895842218
4	215	0	230	0	220	0	225	0	3.40142243047838
4	105	0	135	0	115	0	125	0	0.60677010446405
4	140	0	185	0	155	0	170	0	1.11045481331579
4	225	0	270	0	240	0	255	0	0.126190116034624
4	255	0	300	0	270	0	285	0	0.124424741182448
4	165	0	210	0	180	0	195	0	0.725038319095439
4	115	0	160	0	130	0	145	0	0.8174912921505
4	245	0	290	0	260	0	275	0	0.128356098595061
4	195	0	240	0	210	0	225	0	0.305158650375214
4	235	0	280	0	250	0	265	0	0.133204725801845
4	190	0	235	0	205	0	220	0	0.252433237489704
4	145	0	190	0	160	0	175	0	0.941362438997331
4	290	0	320	0	300	0	310	0	0.343528848867407
4	170	0	200	0	180	0	190	0	1.35402032122259
4	140	0	170	0	150	0	160	0	2.0743857266716
4	220	0	235	0	225	0	230	0	3.97145468460048
4	110	0	140	0	120	0	130	0	0.711312052105931
